"","x"
"1","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"2","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"3","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"4","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"5","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"6","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"7","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"8","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"9","This photo of Karan Johar kissing Alia Bhatt will melt your heart"
"10","days toBadrinath Ki dulhaniyaanddays to <U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E61>Kiski sarkarbtw good evening after<U+653C><U+3E64><U+613C><U+3E30><U+623C><U+3E64><U+653C><U+3E64><U+623C><U+3E38><U+383C><U+3E39><U+270C>"
"11","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"12","Varun Dhawan Dont let periods shut girls out of schools"
"13","This Friday do watch Badrinath ki Dulhaniya in cinemas near you I know this will be a blockbuster movie for sure"
"14","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"15","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"16","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"17","love youyou are the best humble kind sweet rockstarlovingall the best for Badrinath ki dulhaniyas…"
"18","love youyou are the best humble kind sweet rockstarlovingall the best for Badrinath ki dulhaniyas…"
"19","love youyou are the best humble kind sweet rockstarlovingall the best for Badrinath ki dulhaniyas…"
"20","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"21","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"22","andperforming on their new song Humsafar from Badrinath Ki Dulhaniya in our college …"
"23","This is what Varun Dhawan said when asked about his dulhania"
